Base,Source,Question,Base_Answer,Expected_Answer
cat chase lion. cat chase tiger. cow chase lion. cow is big. cow is young. lion chase cat. lion chase cow. lion chase tiger. lion eat tiger. tiger eat lion. tiger is big. tiger is blue. tiger need cat. if someone eat lion then they need cow. if someone is big then they eat cat. if someone is big and they eat cat then they eat lion. if someone need cow and they are young then cow chase cat. if someone chase cat then they chase cow,The dog does not chase the lion. The dog chases the squirrel. The dog is not big. The dog needs the lion. The dog visits the lion. The dog visits the squirrel. The lion chases the dog. The lion is kind. The lion does not need the dog. The lion does not need the squirrel. The lion visits the squirrel. The squirrel does not chase the lion. The squirrel is not big. The squirrel needs the dog. The squirrel visits the lion. if someone needs the lion and the lion needs the dog then they chase the squirrel. if the squirrel is cold and the squirrel visits the lion then the squirrel does not visit the dog. if someone needs the squirrel then they visit the dog. if someone chases the lion then they visit the dog. if someone is big then they chase the lion. if someone chases the dog then they are big.,tiger need cow,True,Unknown
cat chase lion. cat chase tiger. cow chase lion. cow is big. cow is young. lion chase cat. lion chase cow. lion chase tiger. lion eat tiger. tiger eat lion. tiger is big. tiger is blue. tiger need cat. if someone eat lion then they need cow. if someone is big then they eat cat. if someone is big and they eat cat then they eat lion. if someone need cow and they are young then cow chase cat. if someone chase cat then they chase cow,The dog does not chase the lion. The dog chases the squirrel. The dog is not big. The dog needs the lion. The dog visits the lion. The dog visits the squirrel. The lion chases the dog. The lion is kind. The lion does not need the dog. The lion does not need the squirrel. The lion visits the squirrel. The squirrel does not chase the lion. The squirrel is not big. The squirrel needs the dog. The squirrel visits the lion. if someone needs the lion and the lion needs the dog then they chase the squirrel. if the squirrel is cold and the squirrel visits the lion then the squirrel does not visit the dog. if someone needs the squirrel then they visit the dog. if someone chases the lion then they visit the dog. if someone is big then they chase the lion. if someone chases the dog then they are big.,tiger visit dog,Unknown,True
bear chase dog. bear eat dog. bear is blue. bear is cold. bear is kind. bear is nice. bear is red. bear like dog. dog eat bear. dog is cold. dog is nice. if something eat dog then dog like bear. if something eat dog then it chase dog,The dog chases the tiger. The dog is big. The dog is blue. The dog is rough. The dog visits the tiger. The tiger chases the dog. The tiger is blue. The tiger is red. The tiger is rough. The tiger is round. The tiger needs the dog. The tiger visits the dog. if something chases the tiger then it needs the tiger. if something is blue then it chases the tiger.,Dog like bear,True,Unknown
bear chase dog. bear eat dog. bear is blue. bear is cold. bear is kind. bear is nice. bear is red. bear like dog. dog eat bear. dog is cold. dog is nice. if something eat dog then dog like bear. if something eat dog then it chase dog,The dog chases the tiger. The dog is big. The dog is blue. The dog is rough. The dog visits the tiger. The tiger chases the dog. The tiger is blue. The tiger is red. The tiger is rough. The tiger is round. The tiger needs the dog. The tiger visits the dog. if something chases the tiger then it needs the tiger. if something is blue then it chases the tiger.,bear need tiger,Unknown,True
anne is kind. anne is nice. anne is white. charlie is nice. gary is kind. harry is young. if someone is young then they are red. all nice people are furry. if gary is white and gary is young then gary is furry. red people are kind. if someone is big then they are nice. if someone is nice and young then they are white. all kind people are big,"The cow is kind. if something is kind then it is red. All cold, rough things are red. if something is rough and not kind then it is not red. All cold things are rough. All red, kind things are cold. if something is rough then it is cold. if something is cold and rough then it is big. if the cow is not cold and the cow is not red then the cow is big.",harry are red,True,Unknown
anne is kind. anne is nice. anne is white. charlie is nice. gary is kind. harry is young. if someone is young then they are red. all nice people are furry. if gary is white and gary is young then gary is furry. red people are kind. if someone is big then they are nice. if someone is nice and young then they are white. all kind people are big,"The cow is kind. if something is kind then it is red. All cold, rough things are red. if something is rough and not kind then it is not red. All cold things are rough. All red, kind things are cold. if something is rough then it is cold. if something is cold and rough then it is big. if the cow is not cold and the cow is not red then the cow is big.",harry is red,True,Unknown
bear is red. bear visit rabbit. rabbit eat squirrel. rabbit is big. rabbit is cold. rabbit is round. squirrel eat bear. squirrel like rabbit. squirrel visit rabbit. if someone is round then they like squirrel. if someone eat bear and bear is rough then bear visit squirrel. if someone is big and they eat rabbit then they like rabbit. if someone is rough then they eat bear. if someone visit bear then they eat bear. if squirrel like rabbit and rabbit visit squirrel then squirrel is red. if someone visit squirrel and squirrel visit bear then they are cold. if someone is big then they eat bear,The mouse is green. The mouse needs the rabbit. The mouse needs the tiger. The mouse visits the rabbit. The rabbit is round. The rabbit needs the tiger. The tiger chases the mouse. The tiger is big. The tiger needs the mouse. The tiger needs the rabbit. The tiger visits the mouse. The tiger visits the rabbit. if something needs the mouse and the mouse visits the rabbit then it is big. if something is young and it chases the rabbit then the rabbit visits the mouse. if something visits the mouse and the mouse visits the rabbit then the mouse chases the rabbit. if something chases the rabbit then it needs the mouse. if something is big and red then it chases the rabbit. if something needs the rabbit and it chases the rabbit then it is red.,rabbit like squirrel,True,Unknown
bear is red. bear visit rabbit. rabbit eat squirrel. rabbit is big. rabbit is cold. rabbit is round. squirrel eat bear. squirrel like rabbit. squirrel visit rabbit. if someone is round then they like squirrel. if someone eat bear and bear is rough then bear visit squirrel. if someone is big and they eat rabbit then they like rabbit. if someone is rough then they eat bear. if someone visit bear then they eat bear. if squirrel like rabbit and rabbit visit squirrel then squirrel is red. if someone visit squirrel and squirrel visit bear then they are cold. if someone is big then they eat bear,The mouse is green. The mouse needs the rabbit. The mouse needs the tiger. The mouse visits the rabbit. The rabbit is round. The rabbit needs the tiger. The tiger chases the mouse. The tiger is big. The tiger needs the mouse. The tiger needs the rabbit. The tiger visits the mouse. The tiger visits the rabbit. if something needs the mouse and the mouse visits the rabbit then it is big. if something is young and it chases the rabbit then the rabbit visits the mouse. if something visits the mouse and the mouse visits the rabbit then the mouse chases the rabbit. if something chases the rabbit then it needs the mouse. if something is big and red then it chases the rabbit. if something needs the rabbit and it chases the rabbit then it is red.,rabbit need mouse,Unknown,True
dog is blue. dog is cold. dog is green. dog is kind. dog is nice. dog need mouse. mouse eat dog. mouse is blue. mouse is cold. mouse is green. mouse is kind. mouse is nice. mouse like dog. mouse need dog. if someone like dog then dog eat mouse. if someone is nice and they like dog then they like mouse. cold people are nice. if someone like mouse then they are nice. if someone is nice and they need mouse then mouse is blue. if someone like mouse and they are green then mouse eat dog. if someone is blue and they like dog then they like mouse,The bear chases the dog. The bear is cold. The bear is green. The bear is nice. The bear sees the dog. The bear sees the lion. The bear sees the squirrel. The dog eats the squirrel. The lion chases the bear. The lion chases the dog. The lion eats the bear. The lion eats the squirrel. The lion is red. The squirrel chases the bear. The squirrel chases the dog. The squirrel is cold. if someone sees the bear and they are cold then the bear chases the lion. if someone chases the dog then the dog sees the bear. if someone is cold then they are green. if someone sees the bear then the bear eats the dog. if someone eats the squirrel and the squirrel sees the lion then the squirrel eats the dog. if someone chases the dog then the dog sees the squirrel.,Dog eat mouse,True,Unknown
dog is blue. dog is cold. dog is green. dog is kind. dog is nice. dog need mouse. mouse eat dog. mouse is blue. mouse is cold. mouse is green. mouse is kind. mouse is nice. mouse like dog. mouse need dog. if someone like dog then dog eat mouse. if someone is nice and they like dog then they like mouse. cold people are nice. if someone like mouse then they are nice. if someone is nice and they need mouse then mouse is blue. if someone like mouse and they are green then mouse eat dog. if someone is blue and they like dog then they like mouse,The bear chases the dog. The bear is cold. The bear is green. The bear is nice. The bear sees the dog. The bear sees the lion. The bear sees the squirrel. The dog eats the squirrel. The lion chases the bear. The lion chases the dog. The lion eats the bear. The lion eats the squirrel. The lion is red. The squirrel chases the bear. The squirrel chases the dog. The squirrel is cold. if someone sees the bear and they are cold then the bear chases the lion. if someone chases the dog then the dog sees the bear. if someone is cold then they are green. if someone sees the bear then the bear eats the dog. if someone eats the squirrel and the squirrel sees the lion then the squirrel eats the dog. if someone chases the dog then the dog sees the squirrel.,Dog see bear,Unknown,True
bear eat mouse. bear is big. bear is nice. bear like mouse. bear does not see mouse. mouse does not eat bear. mouse is not big. mouse is nice. mouse is young. mouse like bear. mouse does not see bear. if something eat mouse then it is kind. if something see bear and it like bear then bear eat mouse. if something is kind then it eat bear. if something see mouse then mouse does not see bear. if something see bear then it like bear. if something eat bear then bear is not cold,The bear needs the mouse. The cow is red. The dog needs the cow. The mouse is rough. if something visits the dog then the dog needs the mouse. if something chases the cow and the cow needs the dog then the cow is big. if something chases the dog and the dog chases the bear then the bear is big. if the dog visits the cow and the cow needs the mouse then the mouse needs the dog. if the cow needs the bear and the cow visits the bear then the bear needs the mouse. if something is big then it chases the cow. if the bear is big and the bear visits the cow then the bear needs the dog. if something needs the dog then it is red.,bear is kind,True,Unknown
bear eat mouse. bear is big. bear is nice. bear like mouse. bear does not see mouse. mouse does not eat bear. mouse is not big. mouse is nice. mouse is young. mouse like bear. mouse does not see bear. if something eat mouse then it is kind. if something see bear and it like bear then bear eat mouse. if something is kind then it eat bear. if something see mouse then mouse does not see bear. if something see bear then it like bear. if something eat bear then bear is not cold,The bear needs the mouse. The cow is red. The dog needs the cow. The mouse is rough. if something visits the dog then the dog needs the mouse. if something chases the cow and the cow needs the dog then the cow is big. if something chases the dog and the dog chases the bear then the bear is big. if the dog visits the cow and the cow needs the mouse then the mouse needs the dog. if the cow needs the bear and the cow visits the bear then the bear needs the mouse. if something is big then it chases the cow. if the bear is big and the bear visits the cow then the bear needs the dog. if something needs the dog then it is red.,Dog need mouse,Unknown,True
cat eat tiger. cat is not big. cat is not blue. cat is kind. cat is nice. cat is round. cat need tiger. tiger does not chase cat. tiger is kind. tiger is nice. tiger does not need cat. if someone is kind then they chase tiger. if someone need cat and they are kind then they eat cat. if someone is round and they do not chase tiger then they need cat,The bear eats the mouse. The bear is not kind. The lion is kind. The lion needs the mouse. The mouse eats the lion. The squirrel is kind. The squirrel is not young. if someone eats the lion then they like the squirrel. if someone likes the squirrel then they are nice. if someone needs the bear then the bear likes the squirrel. if the bear eats the mouse then the mouse needs the bear. if someone needs the lion then the lion is red. if someone likes the squirrel and they are not red then the squirrel eats the mouse.,cat chase tiger,True,Unknown
cat eat tiger. cat is not big. cat is not blue. cat is kind. cat is nice. cat is round. cat need tiger. tiger does not chase cat. tiger is kind. tiger is nice. tiger does not need cat. if someone is kind then they chase tiger. if someone need cat and they are kind then they eat cat. if someone is round and they do not chase tiger then they need cat,The bear eats the mouse. The bear is not kind. The lion is kind. The lion needs the mouse. The mouse eats the lion. The squirrel is kind. The squirrel is not young. if someone eats the lion then they like the squirrel. if someone likes the squirrel then they are nice. if someone needs the bear then the bear likes the squirrel. if the bear eats the mouse then the mouse needs the bear. if someone needs the lion then the lion is red. if someone likes the squirrel and they are not red then the squirrel eats the mouse.,cat like squirrel,Unknown,True
"dave is cold. erin is cold. erin is green. erin is quiet. erin is red. erin is young. harry is smart. if something is smart then it is big. all big, smart things are young. if erin is cold then erin is red. if something is big and young then it is green. smart, red things are young. green things are cold. if erin is big and erin is cold then erin is young. if something is young and green then it is cold",The cat is green. The cat is young. The cat likes the cow. The cat likes the dog. The cow eats the cat. The cow eats the dog. The dog is cold. The dog likes the cat. The dog needs the cat. The dog needs the lion. The lion is cold. The lion needs the cat. if someone likes the cat then they need the dog. if someone eats the dog then they need the cow. if someone needs the dog then the dog is green.,harry is big,True,Unknown
"dave is cold. erin is cold. erin is green. erin is quiet. erin is red. erin is young. harry is smart. if something is smart then it is big. all big, smart things are young. if erin is cold then erin is red. if something is big and young then it is green. smart, red things are young. green things are cold. if erin is big and erin is cold then erin is young. if something is young and green then it is cold",The cat is green. The cat is young. The cat likes the cow. The cat likes the dog. The cow eats the cat. The cow eats the dog. The dog is cold. The dog likes the cat. The dog needs the cat. The dog needs the lion. The lion is cold. The lion needs the cat. if someone likes the cat then they need the dog. if someone eats the dog then they need the cow. if someone needs the dog then the dog is green.,harry need dog,Unknown,True
bear visit tiger. cat visit tiger. squirrel see tiger. tiger need cat. if someone visit tiger then they are blue. if someone need squirrel then squirrel need cat. if someone is cold and green then they see bear. if someone need bear and they visit bear then bear need tiger. if someone see tiger then tiger is green. if someone visit cat then cat is green,"The rabbit eats the tiger. The rabbit is blue. The tiger visits the rabbit. All green, big things are blue. if something needs the rabbit and it visits the rabbit then it is not blue. if the rabbit is blue then the rabbit eats the tiger. if something is blue and green then it visits the tiger. if the tiger eats the rabbit and the rabbit does not need the tiger then the rabbit is big. if something eats the rabbit then the rabbit is not green.",bear are blue,True,Unknown
bear visit tiger. cat visit tiger. squirrel see tiger. tiger need cat. if someone visit tiger then they are blue. if someone need squirrel then squirrel need cat. if someone is cold and green then they see bear. if someone need bear and they visit bear then bear need tiger. if someone see tiger then tiger is green. if someone visit cat then cat is green,"The rabbit eats the tiger. The rabbit is blue. The tiger visits the rabbit. All green, big things are blue. if something needs the rabbit and it visits the rabbit then it is not blue. if the rabbit is blue then the rabbit eats the tiger. if something is blue and green then it visits the tiger. if the tiger eats the rabbit and the rabbit does not need the tiger then the rabbit is big. if something eats the rabbit then the rabbit is not green.",Rabbit eat tiger,Unknown,True
bear eat tiger. bear is blue. bear is round. bear is young. bear need mouse. bear see dog. dog eat tiger. dog is not kind. dog is not young. dog does not see tiger. mouse see tiger. tiger eat bear. tiger does not eat dog. tiger is round. tiger is young. tiger need mouse. if someone is blue then they do not see bear. if someone see bear and they do not see tiger then they eat bear. if someone need bear and they are round then bear is not blue. if someone need tiger then tiger eat dog. if someone eat bear and bear is not rough then bear see mouse,The rabbit eats the squirrel. The rabbit is blue. The rabbit likes the squirrel. The rabbit does not visit the squirrel. The squirrel is not blue. The squirrel is kind. The squirrel is red. The squirrel is not round. The squirrel likes the rabbit. The squirrel visits the rabbit. if the rabbit visits the squirrel then the squirrel eats the rabbit. if the rabbit eats the squirrel and the squirrel visits the rabbit then the squirrel eats the rabbit. if someone visits the rabbit and they are not round then they eat the squirrel. if the rabbit eats the squirrel then the rabbit is blue. if someone visits the squirrel and they like the rabbit then the squirrel is not red. if the squirrel does not like the rabbit and the rabbit does not like the squirrel then the squirrel visits the rabbit. if someone visits the squirrel and they are not young then the squirrel visits the rabbit. if someone eats the squirrel and they are not round then the squirrel is kind.,bear see bear,False,Unknown
